otu	P6S2T2	P2S1T2	P3S1T3	P5S1T3	P6S2T3	P3S1T2	P1S2T3	P3S2T2	P5S2T1	P3S2T1	P2S1T1	P3S2T3	P5S2T2	P1S1T1	P4S1T3	P2S1T3	P4S1T1	P5S2T3	P1S1T2	P4S2T1	P2S2T1	P4S1T2	P6S1T2	P1S1T3	P4S2T3	P2S2T2	P4S2T2	P6S1T3	P1S2T1	P6S1T1	P2S2T3	P5S1T1	P6S2T1	P1S2T2	P3S1T1	P5S1T2	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
otu73	9	137	6	11	7	3	11	15	16	16	32	17	0	41	6	43	7	9	7	23	19	19	19	24	12	59	5	14	24	1	11	6	0	6	5	2	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma	Trichoderma	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu40	14	37	8	18	7	47	7	10	8	19	8	13	13	1	28	14	26	5	9	6	32	41	24	42	70	19	18	5	18	5	8	9	13	14	6	17	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria;s__maculans	Leptosphaeria	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu49	11	30	31	8	12	40	25	23	0	23	11	28	23	29	21	26	13	12	13	16	11	11	15	16	2	22	19	3	19	19	15	5	3	3	8	25	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Endocarpon;s__Endocarpon	Endocarpon	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
otu10	12	9	0	0	141	24	0	40	7	6	8	6	60	22	29	2	17	6	0	13	11	41	12	17	25	11	0	4	2	0	12	0	11	9	12	11	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium	Metarhizium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu16	4	25	19	30	3	29	22	27	26	0	12	23	6	14	13	20	8	9	0	13	8	70	0	44	11	3	19	11	18	12	5	4	2	13	0	10	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala	Herpotrichiellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Facultative Yeast-Microfungus	NULL	Probable	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu33	5	6	12	1	26	1	4	7	1	8	1	37	26	27	22	0	21	34	0	7	10	26	4	81	6	11	9	18	21	3	0	14	0	8	5	53	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Dacryobolaceae;g__Postia;s__Postia	Postia	13	Saprotroph	Wood Saprotroph	Polyporoid	Brown Rot	Highly Probable	NULL	Jordan CR, et al. 1996. Holzforschung - International Journal of the Biology, Chemistry, Physics and Technology of Wood 50:312-318 ((https://doi.org/10.1515/hfsg.1996.50.4.312))
otu30	3	8	2	9	5	26	19	25	6	30	21	28	4	21	6	40	11	0	11	13	32	23	3	30	11	25	16	0	13	22	23	0	3	15	5	2	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Neurospora;s__Neurospora	Neurospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu147	0	0	7	0	12	7	35	0	0	7	1	18	16	12	7	1	40	13	20	0	7	34	13	69	18	12	1	0	29	19	3	29	6	62	0	9	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis	Psathyrellaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph-Wood Saprotroph	Agaricoid	NULL	Probable	Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu1	4	48	12	2	3	11	10	28	2	33	4	9	16	11	0	22	6	6	15	25	13	23	7	24	12	10	22	2	26	6	40	7	9	5	8	0	k__Eukaryota;p__Basidiomycota;c__Pucciniomycetes;o__Pucciniales;f__Pucciniaceae;g__Puccinia;s__Puccinia	Pucciniaceae	9	Pathotroph	Plant Pathogen	Rust	NULL	Probable	Biotrophic, heteroecious or autoecious, associated with leaf and stem tissue of a very wide range of plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu53	9	13	5	13	9	28	0	16	11	47	17	27	15	16	22	30	23	0	9	17	5	16	13	9	22	12	11	0	11	4	24	0	0	4	17	5	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Ascoideaceae;g__Ascoidea;s__Ascoidea	Ascoideaceae	9	Saprotroph	Wood Saprotroph	Microfungus	NULL	Probable	Found typically in beetle galleries in dead wood, apparently transmitted by insects (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu124	0	21	15	0	21	24	3	14	18	33	0	18	2	26	4	6	12	18	26	10	11	0	17	7	23	14	9	10	20	10	18	0	7	15	21	23	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Magnaporthe;s__Magnaporthe	Magnaporthe	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	Species in this genus cause rice blast and take-all; Usually necrotrophic on roots (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu84	14	4	0	46	0	14	23	7	0	44	12	9	8	20	8	2	7	8	14	0	7	24	0	45	7	20	32	0	30	7	7	3	7	20	18	8	k__Eukaryota;p__Ascomycota;c__Unclassified;o__Unclassified;f__Unclassified;g__Saitoella;s__Saitoella	-	-	-	-	-	-	-	Unassigned	-
otu18	5	23	32	19	0	23	8	28	2	18	15	16	17	6	16	15	24	0	8	0	24	12	0	71	16	7	9	7	18	0	9	2	7	13	3	1	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Pestalotiopsis;s__Pestalotiopsis	Pestalotiopsis	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu121	0	25	5	3	1	96	3	6	25	2	17	5	4	0	14	2	9	1	3	30	29	10	3	55	56	22	21	0	2	0	2	1	0	1	7	6	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__alternata	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Possible	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu95	0	12	4	6	8	5	92	7	9	0	2	8	4	5	4	6	14	13	3	35	13	4	2	3	62	45	14	15	8	3	9	3	4	5	15	4	k__Eukaryota;p__Ascomycota;c__Pneumocystidomycetes;o__Unclassified;f__Pneumocystidaceae;g__Pneumocystis;s__Pneumocystis	Pneumocystis	13	Pathotroph	Animal Pathogen	NULL	NULL	Highly Probable	Opportunistic human pathogen	Bowman BH, et al. 1992. Molecular Biology and Evolution 9:893-904 ((https://doi.org/10.1093/oxfordjournals.molbev.a040766))
otu108	0	14	0	22	5	64	2	19	10	14	2	26	2	5	17	8	14	13	21	24	19	3	7	26	1	1	8	7	18	1	28	0	4	9	9	5	k__Eukaryota;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys	Arthrobotrys	13	Saprotroph	Dung Saprotroph-Nematophagous	Microfungus	Nematode-trapping fungus (Yang et al. 2020)	Probable	NULL	Seifert KA, Kendrick WB, Murase G. 1983. A Key to Hyphomycetes on Dung. University of Waterloo Press, Waterloo; Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Yang C-T, et al. 2020. Proceedings of the National Academy of Sciences 117:6762-6770 ((https://doi.org/10.1073/pnas.1919726117))
otu38	8	25	4	0	6	18	23	19	0	37	3	24	9	24	17	10	12	2	24	12	4	5	16	19	10	18	20	7	5	10	15	6	0	6	0	4	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Lodderomyces;s__Lodderomyces	-	-	-	-	-	-	-	Unassigned	-
otu31	6	13	13	8	3	44	13	10	0	0	8	33	2	4	12	25	15	2	17	11	0	24	6	0	12	17	0	4	23	2	32	23	8	0	0	7	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thermothelomyces;s__Thermothelomyces	-	-	-	-	-	-	-	Unassigned	-
otu52	3	5	8	19	1	7	15	23	5	31	12	21	16	2	13	13	11	4	3	6	26	11	5	21	7	0	1	6	52	1	13	7	0	1	17	6	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Isaria;s__Isaria	Isaria	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu126	0	30	0	2	0	26	29	7	0	0	9	5	0	30	0	12	43	6	13	25	0	16	0	0	72	0	24	0	20	0	0	0	16	0	0	0	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Baudoinia;s__Baudoinia	Teratosphaeriaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	NULL	Probable	Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)	Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))
otu75	2	1	23	25	1	3	28	21	7	9	2	26	4	31	1	1	3	3	12	36	7	3	9	7	6	20	2	1	28	22	1	1	8	21	1	6	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma	Trichoderma	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph	Microfungus	Soft Rot	Probable	Cause of soft-rot (Seehann et al. 1975); Likely opportunistic human pathogen (Irinyi et al. 2015); Endophyte detection method-culture (Busby et al. 2016)	Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Andrews JH, et al. 1983. Phytopathology 73228-234; Hanada RE, et al. 2010. Fungal Biology 114:901-910 ((https://doi.org/10.1016/j.funbio.2010.08.006)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Busby PE, et al. 2016. New Phytologist 209:1681-1692 ((https://doi.org/10.1111/nph.13742)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu68	8	37	14	9	3	24	8	24	1	7	3	13	17	6	5	19	6	2	1	0	10	7	0	16	29	13	0	10	12	5	12	2	1	11	14	7	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum	Colletotrichum	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Probable	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu76	9	5	3	7	4	6	14	11	4	10	4	17	82	8	3	3	11	5	18	12	8	2	13	7	2	3	0	17	17	12	2	10	7	9	8	3	k__Eukaryota;p__Unclassified;c__Unclassified;o__Unclassified;f__Enterocytozoonidae;g__Enterocytozoon;s__Enterocytozoon	-	-	-	-	-	-	-	Unassigned	-
otu130	0	26	0	0	0	23	0	56	16	19	0	58	1	0	9	0	0	29	9	18	0	16	3	0	11	15	14	0	12	0	0	0	0	0	14	0	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Ajellomycetaceae;g__Histoplasma;s__Histoplasma	Histoplasma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu70	3	29	7	1	0	16	10	21	5	29	14	7	14	6	8	5	4	13	8	12	8	8	6	5	10	15	14	0	6	4	11	0	2	0	0	12	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Setosphaeria;s__Setosphaeria	Setosphaeria	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Higly Probable	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Kusai NA, et al. 2016. Mycologia 108:905-914 ((https://doi.org/10.3852/15-175)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu27	6	17	3	17	0	13	18	17	7	0	10	24	3	22	0	7	22	17	20	1	1	12	15	2	8	6	1	0	23	1	1	0	0	1	0	13	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon;s__Trichosporon	Trichosporon	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	Likely opportunistic human pathogen (Irinyi et al. 2015)	Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); https://www.cdc.gov ((https://www.cdc.gov))
otu105	0	6	7	4	8	11	28	11	1	19	6	6	3	7	7	4	23	13	10	12	9	16	0	20	14	2	4	1	15	23	2	3	1	5	5	1	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae;g__Botrytis;s__Botrytis	Botrytis	13	Pathotroph	Plant Pathogen	Microfungus	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx))
otu58	5	6	6	10	4	15	12	13	4	18	6	9	4	17	7	14	7	0	21	6	0	4	5	5	13	7	2	3	7	2	5	11	7	22	7	3	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Trichomonascaceae;g__Sugiyamaella;s__Sugiyamaella	-	-	-	-	-	-	-	Unassigned	-
otu153	0	0	3	7	5	4	28	8	2	6	8	27	24	4	7	0	16	5	8	4	4	3	3	14	5	13	1	12	9	0	7	22	3	13	0	8	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Unclassified;g__Phialocephala;s__Phialocephala	Phialocephala	13	Symbiotroph	Endophyte	Microfungus	NULL	Highly Probable	Dark Septate Endophyte, known from plant roots.	Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as dark septate root endophytes)
otu50	5	4	11	3	6	3	14	13	6	17	0	8	0	4	16	8	10	1	8	15	4	3	2	10	10	3	10	32	5	3	3	8	6	4	14	10	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria	Beauveria	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu24	4	32	1	19	44	10	0	14	0	0	5	7	13	14	32	1	1	3	13	7	0	12	1	16	0	6	0	0	8	1	1	0	1	0	1	3	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__Metarhizium	Metarhizium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu25	6	26	8	0	6	11	0	0	1	0	11	10	0	0	0	33	11	0	15	10	5	0	3	8	36	3	8	0	0	3	0	0	5	6	13	20	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thielavia;s__Thielavia	Thielavia	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph	Microfungus	NULL	Highly Probable	NULL	Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu39	16	2	23	0	0	0	0	0	0	0	0	23	17	0	8	14	0	15	0	20	0	36	11	31	1	10	0	0	0	0	0	20	8	0	0	2	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
otu112	0	21	0	8	0	6	9	9	0	18	0	7	19	0	0	1	5	0	0	6	21	16	11	3	10	12	1	0	14	0	0	4	12	0	12	26	k__Eukaryota;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina;s__Sphaerulina	Sphaerulina	13	Symbiotroph	Lichenized	Thallus	NULL	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
otu66	6	4	12	14	3	9	5	14	6	20	0	31	4	19	6	2	6	4	0	5	1	2	3	17	3	2	2	1	12	1	7	2	8	0	13	7	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Metarhizium;s__majus	Metarhizium	13	Pathotroph	Animal Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu99	0	1	0	4	0	25	8	14	31	6	8	7	0	7	0	6	6	0	0	0	9	3	9	0	1	1	15	10	6	6	22	2	1	18	20	0	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
otu32	3	14	0	6	0	8	2	14	4	3	4	9	0	0	4	0	32	0	9	3	10	12	0	4	47	10	10	4	13	0	5	0	2	4	4	0	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Eutypa;s__Eutypa	Eutypa	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu35	1	8	16	4	4	5	6	15	0	9	9	9	6	4	6	5	8	0	2	6	0	5	2	15	28	5	0	6	9	6	14	0	3	6	0	12	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Grosmannia;s__Grosmannia	Grosmannia	13	Pathotroph	Plant Pathogen	NULL	Blue-Staining	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu44	2	6	5	6	11	17	2	14	3	1	4	0	5	7	4	1	6	2	11	8	14	11	9	7	9	5	2	10	6	1	18	7	2	13	0	1	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
otu157	0	0	0	19	0	7	11	0	4	0	0	0	9	9	5	6	2	2	6	0	7	0	1	36	22	6	0	17	11	0	0	20	14	6	0	0	k__Eukaryota;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula	Rhodotorula	13	Pathotroph-Saprotroph	Animal Endosymbiont-Animal Pathogen-Endophyte-Plant Pathogen-Undefined Saprotroph	Yeast	NULL	Probable	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
otu3	8	14	16	25	0	5	6	1	7	5	1	0	15	7	2	0	7	5	2	1	1	0	6	23	11	1	9	0	7	0	2	0	0	21	0	0	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Unclassified;g__Fibroporia;s__Fibroporia	Fibroporia	13	Saprotroph	Wood Saprotroph	Corticioid	Brown Rot	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu69	4	0	1	0	5	17	0	3	0	16	10	0	6	0	15	16	11	4	10	11	19	0	12	0	0	8	10	0	1	1	5	8	0	0	0	0	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum	Colletotrichum	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Probable	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu104	0	10	0	9	6	7	0	2	0	3	0	4	7	5	6	16	5	6	0	6	17	5	0	0	12	15	3	5	12	9	0	0	0	12	2	8	k__Eukaryota;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Spizellomyces;s__Spizellomyces	Spizellomyces	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	Microfungus	NULL	Probable	Pollen degrader; Common in the soil and also as parasites of a range of soil organisms and plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu109	0	19	1	1	2	3	4	2	5	23	0	9	2	1	1	1	1	0	22	5	0	38	5	2	0	0	7	7	3	2	12	9	0	0	0	0	k__Eukaryota;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Moesziomyces;s__Moesziomyces	Moesziomyces	13	Pathotroph	Plant Pathogen	Facultative Yeast	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu67	1	5	4	9	0	7	7	7	12	1	4	8	3	4	9	1	9	2	5	14	5	13	0	4	6	2	22	2	6	2	3	3	1	2	1	3	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;s__Exophiala	Herpotrichiellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Fungal Parasite-Undefined Saprotroph	Facultative Yeast-Microfungus	NULL	Probable	Mostly saprobic on plants or other fungi, isolated from soil etc., and from medical sources (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
otu5	8	12	0	0	0	4	0	0	0	13	0	0	16	0	19	0	0	0	0	0	15	0	0	29	16	0	0	0	29	1	0	0	0	21	0	0	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Candida;s__Candida	Candida	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	Dimorphic Yeast	NULL	Probable	This asexual genus is polyphyletic and contain species that function very differently depend on what they are. Caution should be taken when interpreting guilds for Candida species.	Manolakaki D, et al. 2010. Virulence. 1: 367-375 ((https://doi.org/10.4161/viru.1.5.12796)); Mekbib SB, et al. 2011. Tropical Plant Pathology 36:233-240 ((https://doi.org/10.1590/S1982-56762011000400004))
otu72	2	9	8	6	0	20	5	5	0	5	3	7	1	0	1	2	2	5	3	2	0	5	3	4	13	4	10	0	3	0	7	33	6	0	8	0	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Scedosporium;s__Scedosporium	Scedosporium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
